timestep,row,col,count
0,0,0,4
0,0,1,1
0,0,2,3
0,0,3,3
0,0,4,1
0,0,5,2
0,0,6,1
0,0,7,1
0,0,8,2
0,0,9,2
0,0,10,1
0,0,11,0
0,0,12,4
0,0,13,2
0,0,14,1
0,0,15,3
0,0,16,2
0,0,17,6
0,0,18,1
0,0,19,1
0,0,20,2
0,0,21,2
0,0,22,1
0,0,23,3
0,0,24,4
0,0,25,1
0,0,26,3
0,0,27,1
0,0,28,4
0,0,29,4
0,0,30,2
0,0,31,0
0,0,32,0
0,0,33,2
0,0,34,2
0,0,35,2
0,0,36,1
0,0,37,5
0,0,38,4
0,0,39,0
0,1,0,1
0,1,1,2
0,1,2,2
0,1,3,0
0,1,4,2
0,1,5,2
0,1,6,3
0,1,7,1
0,1,8,0
0,1,9,2
0,1,10,2
0,1,11,1
0,1,12,3
0,1,13,2
0,1,14,3
0,1,15,2
0,1,16,0
0,1,17,2
0,1,18,1
0,1,19,1
0,1,20,3
0,1,21,1
0,1,22,4
0,1,23,2
0,1,24,0
0,1,25,4
0,1,26,5
0,1,27,2
0,1,28,0
0,1,29,0
0,1,30,1
0,1,31,1
0,1,32,2
0,1,33,2
0,1,34,5
0,1,35,1
0,1,36,2
0,1,37,4
0,1,38,1
0,1,39,2
0,2,0,1
0,2,1,4
0,2,2,5
0,2,3,2
0,2,4,1
0,2,5,3
0,2,6,2
0,2,7,5
0,2,8,5
0,2,9,5
0,2,10,1
0,2,11,0
0,2,12,1
0,2,13,2
0,2,14,1
0,2,15,0
0,2,16,2
0,2,17,2
0,2,18,1
0,2,19,0
0,2,20,3
0,2,21,3
0,2,22,1
0,2,23,0
0,2,24,0
0,2,25,4
0,2,26,1
0,2,27,3
0,2,28,4
0,2,29,1
0,2,30,1
0,2,31,0
0,2,32,0
0,2,33,0
0,2,34,3
0,2,35,2
0,2,36,2
0,2,37,1
0,2,38,2
0,2,39,2
0,3,0,0
0,3,1,1
0,3,2,3
0,3,3,4
0,3,4,3
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,1
0,3,9,2
0,3,10,2
0,3,11,5
0,3,12,1
0,3,13,3
0,3,14,4
0,3,15,2
0,3,16,3
0,3,17,2
0,3,18,1
0,3,19,4
0,3,20,1
0,3,21,3
0,3,22,1
0,3,23,1
0,3,24,3
0,3,25,0
0,3,26,1
0,3,27,1
0,3,28,0
0,3,29,1
0,3,30,2
0,3,31,0
0,3,32,3
0,3,33,4
0,3,34,4
0,3,35,1
0,3,36,1
0,3,37,0
0,3,38,0
0,3,39,4
0,4,0,2
0,4,1,1
0,4,2,1
0,4,3,3
0,4,4,4
0,4,5,4
0,4,6,3
0,4,7,2
0,4,8,2
0,4,9,0
0,4,10,4
0,4,11,2
0,4,12,5
0,4,13,2
0,4,14,0
0,4,15,3
0,4,16,5
0,4,17,1
0,4,18,0
0,4,19,8
0,4,20,1
0,4,21,2
0,4,22,3
0,4,23,4
0,4,24,3
0,4,25,0
0,4,26,0
0,4,27,3
0,4,28,1
0,4,29,2
0,4,30,3
0,4,31,5
0,4,32,2
0,4,33,3
0,4,34,2
0,4,35,0
0,4,36,0
0,4,37,1
0,4,38,1
0,4,39,3
0,5,0,1
0,5,1,0
0,5,2,1
0,5,3,1
0,5,4,0
0,5,5,1
0,5,6,2
0,5,7,0
0,5,8,2
0,5,9,2
0,5,10,3
0,5,11,1
0,5,12,2
0,5,13,2
0,5,14,3
0,5,15,1
0,5,16,2
0,5,17,1
0,5,18,0
0,5,19,1
0,5,20,1
0,5,21,5
0,5,22,3
0,5,23,0
0,5,24,1
0,5,25,2
0,5,26,3
0,5,27,1
0,5,28,1
0,5,29,1
0,5,30,1
0,5,31,3
0,5,32,4
0,5,33,1
0,5,34,3
0,5,35,2
0,5,36,2
0,5,37,0
0,5,38,2
0,5,39,1
0,6,0,1
0,6,1,1
0,6,2,0
0,6,3,3
0,6,4,4
0,6,5,4
0,6,6,2
0,6,7,0
0,6,8,3
0,6,9,2
0,6,10,1
0,6,11,2
0,6,12,3
0,6,13,2
0,6,14,2
0,6,15,4
0,6,16,0
0,6,17,3
0,6,18,5
0,6,19,1
0,6,20,1
0,6,21,3
0,6,22,1
0,6,23,1
0,6,24,2
0,6,25,2
0,6,26,3
0,6,27,1
0,6,28,3
0,6,29,2
0,6,30,2
0,6,31,6
0,6,32,3
0,6,33,3
0,6,34,2
0,6,35,4
0,6,36,0
0,6,37,2
0,6,38,1
0,6,39,3
0,7,0,2
0,7,1,1
0,7,2,1
0,7,3,3
0,7,4,1
0,7,5,1
0,7,6,2
0,7,7,0
0,7,8,3
0,7,9,3
0,7,10,1
0,7,11,2
0,7,12,3
0,7,13,2
0,7,14,3
0,7,15,2
0,7,16,0
0,7,17,1
0,7,18,1
0,7,19,1
0,7,20,1
0,7,21,0
0,7,22,2
0,7,23,1
0,7,24,3
0,7,25,2
0,7,26,2
0,7,27,0
0,7,28,1
0,7,29,1
0,7,30,3
0,7,31,1
0,7,32,2
0,7,33,2
0,7,34,3
0,7,35,4
0,7,36,0
0,7,37,2
0,7,38,1
0,7,39,3
0,8,0,1
0,8,1,1
0,8,2,2
0,8,3,2
0,8,4,0
0,8,5,1
0,8,6,4
0,8,7,3
0,8,8,0
0,8,9,1
0,8,10,0
0,8,11,2
0,8,12,1
0,8,13,2
0,8,14,4
0,8,15,0
0,8,16,2
0,8,17,2
0,8,18,1
0,8,19,0
0,8,20,3
0,8,21,3
0,8,22,2
0,8,23,0
0,8,24,1
0,8,25,2
0,8,26,5
0,8,27,2
0,8,28,3
0,8,29,2
0,8,30,2
0,8,31,5
0,8,32,4
0,8,33,2
0,8,34,0
0,8,35,3
0,8,36,2
0,8,37,3
0,8,38,1
0,8,39,1
0,9,0,5
0,9,1,3
0,9,2,4
0,9,3,2
0,9,4,1
0,9,5,1
0,9,6,0
0,9,7,0
0,9,8,3
0,9,9,3
0,9,10,4
0,9,11,2
0,9,12,4
0,9,13,1
0,9,14,2
0,9,15,0
0,9,16,5
0,9,17,2
0,9,18,2
0,9,19,3
0,9,20,2
0,9,21,6
0,9,22,2
0,9,23,2
0,9,24,2
0,9,25,3
0,9,26,3
0,9,27,3
0,9,28,6
0,9,29,1
0,9,30,2
0,9,31,1
0,9,32,2
0,9,33,3
0,9,34,3
0,9,35,2
0,9,36,1
0,9,37,4
0,9,38,1
0,9,39,2
0,10,0,2
0,10,1,2
0,10,2,0
0,10,3,4
0,10,4,1
0,10,5,0
0,10,6,2
0,10,7,2
0,10,8,3
0,10,9,2
0,10,10,0
0,10,11,2
0,10,12,2
0,10,13,3
0,10,14,13
0,10,15,13
0,10,16,11
0,10,17,3
0,10,18,3
0,10,19,4
0,10,20,0
0,10,21,4
0,10,22,0
0,10,23,2
0,10,24,1
0,10,25,2
0,10,26,2
0,10,27,0
0,10,28,2
0,10,29,4
0,10,30,1
0,10,31,2
0,10,32,3
0,10,33,0
0,10,34,2
0,10,35,1
0,10,36,0
0,10,37,1
0,10,38,3
0,10,39,1
0,11,0,2
0,11,1,1
0,11,2,5
0,11,3,1
0,11,4,4
0,11,5,2
0,11,6,0
0,11,7,1
0,11,8,3
0,11,9,2
0,11,10,3
0,11,11,3
0,11,12,1
0,11,13,0
0,11,14,12
0,11,15,15
0,11,16,13
0,11,17,4
0,11,18,3
0,11,19,2
0,11,20,3
0,11,21,2
0,11,22,2
0,11,23,2
0,11,24,3
0,11,25,1
0,11,26,2
0,11,27,3
0,11,28,2
0,11,29,0
0,11,30,1
0,11,31,2
0,11,32,2
0,11,33,1
0,11,34,0
0,11,35,5
0,11,36,2
0,11,37,1
0,11,38,2
0,11,39,0
0,12,0,2
0,12,1,1
0,12,2,3
0,12,3,4
0,12,4,2
0,12,5,0
0,12,6,2
0,12,7,2
0,12,8,3
0,12,9,5
0,12,10,2
0,12,11,3
0,12,12,3
0,12,13,2
0,12,14,16
0,12,15,13
0,12,16,16
0,12,17,0
0,12,18,1
0,12,19,1
0,12,20,2
0,12,21,1
0,12,22,1
0,12,23,0
0,12,24,3
0,12,25,3
0,12,26,0
0,12,27,1
0,12,28,2
0,12,29,5
0,12,30,1
0,12,31,3
0,12,32,0
0,12,33,2
0,12,34,1
0,12,35,1
0,12,36,2
0,12,37,2
0,12,38,1
0,12,39,1
0,13,0,1
0,13,1,1
0,13,2,3
0,13,3,2
0,13,4,5
0,13,5,1
0,13,6,3
0,13,7,2
0,13,8,3
0,13,9,3
0,13,10,3
0,13,11,0
0,13,12,3
0,13,13,2
0,13,14,1
0,13,15,2
0,13,16,3
0,13,17,0
0,13,18,2
0,13,19,0
0,13,20,0
0,13,21,2
0,13,22,1
0,13,23,0
0,13,24,1
0,13,25,2
0,13,26,3
0,13,27,4
0,13,28,2
0,13,29,2
0,13,30,2
0,13,31,0
0,13,32,2
0,13,33,3
0,13,34,1
0,13,35,6
0,13,36,1
0,13,37,3
0,13,38,1
0,13,39,1
0,14,0,3
0,14,1,3
0,14,2,3
0,14,3,1
0,14,4,6
0,14,5,0
0,14,6,1
0,14,7,4
0,14,8,0
0,14,9,5
0,14,10,2
0,14,11,1
0,14,12,0
0,14,13,0
0,14,14,4
0,14,15,2
0,14,16,2
0,14,17,1
0,14,18,0
0,14,19,2
0,14,20,1
0,14,21,3
0,14,22,0
0,14,23,1
0,14,24,1
0,14,25,4
0,14,26,3
0,14,27,2
0,14,28,2
0,14,29,2
0,14,30,2
0,14,31,2
0,14,32,1
0,14,33,0
0,14,34,4
0,14,35,0
0,14,36,3
0,14,37,1
0,14,38,2
0,14,39,2
0,15,0,5
0,15,1,1
0,15,2,1
0,15,3,5
0,15,4,1
0,15,5,1
0,15,6,3
0,15,7,0
0,15,8,1
0,15,9,0
0,15,10,0
0,15,11,3
0,15,12,3
0,15,13,1
0,15,14,2
0,15,15,0
0,15,16,0
0,15,17,4
0,15,18,1
0,15,19,4
0,15,20,4
0,15,21,4
0,15,22,2
0,15,23,2
0,15,24,3
0,15,25,2
0,15,26,5
0,15,27,5
0,15,28,1
0,15,29,2
0,15,30,1
0,15,31,2
0,15,32,4
0,15,33,2
0,15,34,4
0,15,35,1
0,15,36,3
0,15,37,2
0,15,38,3
0,15,39,3
0,16,0,1
0,16,1,3
0,16,2,1
0,16,3,3
0,16,4,4
0,16,5,2
0,16,6,3
0,16,7,3
0,16,8,3
0,16,9,3
0,16,10,1
0,16,11,0
0,16,12,4
0,16,13,1
0,16,14,2
0,16,15,1
0,16,16,5
0,16,17,1
0,16,18,2
0,16,19,2
0,16,20,1
0,16,21,0
0,16,22,0
0,16,23,2
0,16,24,2
0,16,25,3
0,16,26,3
0,16,27,0
0,16,28,15
0,16,29,13
0,16,30,13
0,16,31,3
0,16,32,0
0,16,33,1
0,16,34,2
0,16,35,2
0,16,36,1
0,16,37,1
0,16,38,0
0,16,39,1
0,17,0,2
0,17,1,1
0,17,2,4
0,17,3,1
0,17,4,3
0,17,5,1
0,17,6,3
0,17,7,0
0,17,8,1
0,17,9,2
0,17,10,1
0,17,11,2
0,17,12,2
0,17,13,2
0,17,14,4
0,17,15,2
0,17,16,3
0,17,17,2
0,17,18,1
0,17,19,2
0,17,20,4
0,17,21,2
0,17,22,0
0,17,23,3
0,17,24,0
0,17,25,5
0,17,26,2
0,17,27,3
0,17,28,14
0,17,29,17
0,17,30,14
0,17,31,2
0,17,32,1
0,17,33,1
0,17,34,6
0,17,35,1
0,17,36,2
0,17,37,0
0,17,38,4
0,17,39,2
0,18,0,3
0,18,1,3
0,18,2,3
0,18,3,2
0,18,4,1
0,18,5,2
0,18,6,3
0,18,7,3
0,18,8,3
0,18,9,2
0,18,10,3
0,18,11,2
0,18,12,0
0,18,13,4
0,18,14,3
0,18,15,2
0,18,16,3
0,18,17,2
0,18,18,1
0,18,19,4
0,18,20,3
0,18,21,4
0,18,22,1
0,18,23,2
0,18,24,1
0,18,25,2
0,18,26,1
0,18,27,1
0,18,28,17
0,18,29,12
0,18,30,14
0,18,31,4
0,18,32,2
0,18,33,0
0,18,34,5
0,18,35,2
0,18,36,4
0,18,37,3
0,18,38,1
0,18,39,2
0,19,0,5
0,19,1,1
0,19,2,1
0,19,3,1
0,19,4,3
0,19,5,2
0,19,6,1
0,19,7,0
0,19,8,1
0,19,9,0
0,19,10,3
0,19,11,2
0,19,12,0
0,19,13,1
0,19,14,3
0,19,15,2
0,19,16,1
0,19,17,3
0,19,18,4
0,19,19,0
0,19,20,1
0,19,21,1
0,19,22,2
0,19,23,2
0,19,24,0
0,19,25,2
0,19,26,0
0,19,27,4
0,19,28,1
0,19,29,5
0,19,30,1
0,19,31,1
0,19,32,0
0,19,33,1
0,19,34,2
0,19,35,0
0,19,36,3
0,19,37,4
0,19,38,2
0,19,39,5
0,20,0,2
0,20,1,3
0,20,2,1
0,20,3,2
0,20,4,0
0,20,5,3
0,20,6,1
0,20,7,3
0,20,8,3
0,20,9,1
0,20,10,3
0,20,11,0
0,20,12,1
0,20,13,0
0,20,14,2
0,20,15,1
0,20,16,4
0,20,17,3
0,20,18,1
0,20,19,1
0,20,20,4
0,20,21,1
0,20,22,1
0,20,23,1
0,20,24,3
0,20,25,1
0,20,26,2
0,20,27,5
0,20,28,1
0,20,29,2
0,20,30,5
0,20,31,1
0,20,32,4
0,20,33,4
0,20,34,1
0,20,35,2
0,20,36,3
0,20,37,6
0,20,38,0
0,20,39,4
0,21,0,3
0,21,1,1
0,21,2,4
0,21,3,1
0,21,4,2
0,21,5,1
0,21,6,4
0,21,7,3
0,21,8,6
0,21,9,1
0,21,10,2
0,21,11,1
0,21,12,2
0,21,13,3
0,21,14,3
0,21,15,0
0,21,16,1
0,21,17,1
0,21,18,4
0,21,19,1
0,21,20,4
0,21,21,0
0,21,22,3
0,21,23,1
0,21,24,2
0,21,25,4
0,21,26,2
0,21,27,1
0,21,28,1
0,21,29,2
0,21,30,1
0,21,31,2
0,21,32,1
0,21,33,2
0,21,34,0
0,21,35,1
0,21,36,4
0,21,37,3
0,21,38,2
0,21,39,2
0,22,0,1
0,22,1,5
0,22,2,0
0,22,3,2
0,22,4,3
0,22,5,1
0,22,6,2
0,22,7,4
0,22,8,3
0,22,9,2
0,22,10,1
0,22,11,3
0,22,12,2
0,22,13,1
0,22,14,0
0,22,15,0
0,22,16,2
0,22,17,0
0,22,18,1
0,22,19,0
0,22,20,0
0,22,21,2
0,22,22,2
0,22,23,4
0,22,24,4
0,22,25,0
0,22,26,2
0,22,27,1
0,22,28,2
0,22,29,1
0,22,30,0
0,22,31,4
0,22,32,4
0,22,33,1
0,22,34,1
0,22,35,3
0,22,36,6
0,22,37,1
0,22,38,1
0,22,39,3
0,23,0,3
0,23,1,1
0,23,2,2
0,23,3,2
0,23,4,1
0,23,5,2
0,23,6,2
0,23,7,2
0,23,8,2
0,23,9,2
0,23,10,1
0,23,11,1
0,23,12,5
0,23,13,3
0,23,14,3
0,23,15,1
0,23,16,2
0,23,17,7
0,23,18,2
0,23,19,2
0,23,20,3
0,23,21,0
0,23,22,15
0,23,23,15
0,23,24,15
0,23,25,1
0,23,26,2
0,23,27,1
0,23,28,2
0,23,29,2
0,23,30,5
0,23,31,2
0,23,32,2
0,23,33,1
0,23,34,1
0,23,35,0
0,23,36,0
0,23,37,2
0,23,38,4
0,23,39,2
0,24,0,5
0,24,1,1
0,24,2,1
0,24,3,2
0,24,4,0
0,24,5,0
0,24,6,4
0,24,7,3
0,24,8,1
0,24,9,2
0,24,10,0
0,24,11,0
0,24,12,1
0,24,13,2
0,24,14,2
0,24,15,1
0,24,16,0
0,24,17,3
0,24,18,3
0,24,19,3
0,24,20,5
0,24,21,2
0,24,22,15
0,24,23,16
0,24,24,15
0,24,25,2
0,24,26,2
0,24,27,6
0,24,28,4
0,24,29,1
0,24,30,6
0,24,31,1
0,24,32,3
0,24,33,1
0,24,34,3
0,24,35,4
0,24,36,3
0,24,37,3
0,24,38,2
0,24,39,4
0,25,0,4
0,25,1,1
0,25,2,2
0,25,3,2
0,25,4,2
0,25,5,2
0,25,6,2
0,25,7,4
0,25,8,1
0,25,9,1
0,25,10,1
0,25,11,2
0,25,12,1
0,25,13,1
0,25,14,3
0,25,15,2
0,25,16,1
0,25,17,1
0,25,18,3
0,25,19,0
0,25,20,2
0,25,21,3
0,25,22,13
0,25,23,16
0,25,24,15
0,25,25,3
0,25,26,2
0,25,27,2
0,25,28,3
0,25,29,2
0,25,30,3
0,25,31,2
0,25,32,0
0,25,33,1
0,25,34,3
0,25,35,2
0,25,36,3
0,25,37,1
0,25,38,2
0,25,39,0
0,26,0,1
0,26,1,1
0,26,2,0
0,26,3,4
0,26,4,6
0,26,5,4
0,26,6,3
0,26,7,1
0,26,8,4
0,26,9,2
0,26,10,3
0,26,11,2
0,26,12,0
0,26,13,2
0,26,14,2
0,26,15,3
0,26,16,1
0,26,17,0
0,26,18,1
0,26,19,3
0,26,20,1
0,26,21,1
0,26,22,2
0,26,23,5
0,26,24,4
0,26,25,2
0,26,26,2
0,26,27,5
0,26,28,1
0,26,29,2
0,26,30,1
0,26,31,3
0,26,32,0
0,26,33,0
0,26,34,2
0,26,35,1
0,26,36,1
0,26,37,2
0,26,38,1
0,26,39,2
0,27,0,2
0,27,1,3
0,27,2,3
0,27,3,1
0,27,4,1
0,27,5,1
0,27,6,2
0,27,7,2
0,27,8,1
0,27,9,1
0,27,10,3
0,27,11,1
0,27,12,5
0,27,13,2
0,27,14,3
0,27,15,0
0,27,16,3
0,27,17,0
0,27,18,4
0,27,19,1
0,27,20,2
0,27,21,3
0,27,22,1
0,27,23,0
0,27,24,2
0,27,25,2
0,27,26,2
0,27,27,0
0,27,28,3
0,27,29,5
0,27,30,1
0,27,31,2
0,27,32,2
0,27,33,6
0,27,34,1
0,27,35,2
0,27,36,1
0,27,37,1
0,27,38,2
0,27,39,0
0,28,0,4
0,28,1,2
0,28,2,3
0,28,3,1
0,28,4,1
0,28,5,3
0,28,6,2
0,28,7,2
0,28,8,0
0,28,9,1
0,28,10,2
0,28,11,0
0,28,12,4
0,28,13,5
0,28,14,0
0,28,15,0
0,28,16,6
0,28,17,0
0,28,18,1
0,28,19,0
0,28,20,13
0,28,21,12
0,28,22,13
0,28,23,5
0,28,24,5
0,28,25,2
0,28,26,3
0,28,27,6
0,28,28,3
0,28,29,2
