timestep,row,col,count
0,0,0,0
0,0,1,2
0,0,2,0
0,0,3,1
0,0,4,0
0,0,5,0
0,0,6,1
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,0,12,0
0,0,13,1
0,0,14,0
0,0,15,1
0,0,16,0
0,1,0,3
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,1
0,1,5,1
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,1,12,1
0,1,13,0
0,1,14,1
0,1,15,1
0,1,16,1
0,2,0,0
0,2,1,1
0,2,2,0
0,2,3,0
0,2,4,1
0,2,5,0
0,2,6,1
0,2,7,1
0,2,8,0
0,2,9,1
0,2,10,1
0,2,11,1
0,2,12,0
0,2,13,1
0,2,14,2
0,2,15,1
0,2,16,1
0,3,0,1
0,3,1,2
0,3,2,1
0,3,3,3
0,3,4,1
0,3,5,1
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,1
0,3,10,3
0,3,11,0
0,3,12,0
0,3,13,0
0,3,14,1
0,3,15,0
0,3,16,1
0,4,0,1
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,4,13,0
0,4,14,0
0,4,15,0
0,4,16,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,3
0,5,6,0
0,5,7,1
0,5,8,1
0,5,9,0
0,5,10,0
0,5,11,1
0,5,12,1
0,5,13,2
0,5,14,1
0,5,15,1
0,5,16,0
0,6,0,1
0,6,1,0
0,6,2,0
0,6,3,1
0,6,4,0
0,6,5,0
0,6,6,1
0,6,7,0
0,6,8,1
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,1
0,6,13,0
0,6,14,0
0,6,15,0
0,6,16,0
0,7,0,0
0,7,1,0
0,7,2,1
0,7,3,1
0,7,4,1
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,2
0,7,11,0
0,7,12,1
0,7,13,0
0,7,14,0
0,7,15,2
0,7,16,0
0,8,0,0
0,8,1,0
0,8,2,1
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,1
0,8,10,0
0,8,11,1
0,8,12,0
0,8,13,0
0,8,14,1
0,8,15,1
0,8,16,1
0,9,0,0
0,9,1,1
0,9,2,0
0,9,3,1
0,9,4,1
0,9,5,0
0,9,6,0
0,9,7,1
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,9,14,0
0,9,15,0
0,9,16,1
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,2
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,3
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,10,12,1
0,10,13,0
0,10,14,0
0,10,15,0
0,10,16,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,11,11,1
0,11,12,1
0,11,13,0
0,11,14,0
0,11,15,0
0,11,16,2
0,12,0,1
0,12,1,1
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,1
0,12,7,1
0,12,8,0
0,12,9,0
0,12,10,1
0,12,11,1
0,12,12,0
0,12,13,0
0,12,14,1
0,12,15,0
0,12,16,0
0,13,0,0
0,13,1,1
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,1
0,13,6,1
0,13,7,0
0,13,8,1
0,13,9,1
0,13,10,1
0,13,11,0
0,13,12,0
0,13,13,1
0,13,14,0
0,13,15,0
0,13,16,0
0,14,0,0
0,14,1,2
0,14,2,0
0,14,3,1
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,2
0,14,10,1
0,14,11,0
0,14,12,0
0,14,13,1
0,14,14,2
0,14,15,1
0,14,16,0
0,15,0,0
0,15,1,2
0,15,2,0
0,15,3,0
0,15,4,3
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,5
0,15,10,0
0,15,11,1
0,15,12,0
0,15,13,0
0,15,14,0
0,15,15,1
0,15,16,0
0,16,0,0
0,16,1,0
0,16,2,2
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
0,16,14,0
0,16,15,0
0,16,16,0
1,0,0,5
1,0,1,7
1,0,2,0
1,0,3,2
1,0,4,2
1,0,5,1
1,0,6,1
1,0,7,2
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,5
1,0,12,3
1,0,13,1
1,0,14,1
1,0,15,2
1,0,16,1
1,1,0,2
1,1,1,1
1,1,2,0
1,1,3,1
1,1,4,5
1,1,5,0
1,1,6,1
1,1,7,7
1,1,8,1
1,1,9,0
1,1,10,1
1,1,11,3
1,1,12,0
1,1,13,2
1,1,14,0
1,1,15,4
1,1,16,1
1,2,0,1
1,2,1,3
1,2,2,1
1,2,3,0
1,2,4,1
1,2,5,2
1,2,6,1
1,2,7,1
1,2,8,4
1,2,9,2
1,2,10,2
1,2,11,2
1,2,12,3
1,2,13,1
1,2,14,0
1,2,15,3
1,2,16,2
1,3,0,2
1,3,1,2
1,3,2,2
1,3,3,1
1,3,4,5
1,3,5,3
1,3,6,2
1,3,7,1
1,3,8,0
1,3,9,2
1,3,10,2
1,3,11,2
1,3,12,5
1,3,13,0
1,3,14,6
1,3,15,0
1,3,16,2
1,4,0,4
1,4,1,3
1,4,2,1
1,4,3,0
1,4,4,3
1,4,5,1
1,4,6,0
1,4,7,0
1,4,8,1
1,4,9,0
1,4,10,0
1,4,11,1
1,4,12,0
1,4,13,2
1,4,14,3
1,4,15,2
1,4,16,1
1,5,0,0
1,5,1,0
1,5,2,3
1,5,3,5
1,5,4,5
1,5,5,3
1,5,6,1
1,5,7,1
1,5,8,5
1,5,9,2
1,5,10,2
1,5,11,0
1,5,12,3
1,5,13,0
1,5,14,0
1,5,15,5
1,5,16,2
1,6,0,2
1,6,1,1
1,6,2,3
1,6,3,0
1,6,4,0
1,6,5,3
1,6,6,2
1,6,7,2
1,6,8,0
1,6,9,1
1,6,10,0
1,6,11,0
1,6,12,4
1,6,13,1
1,6,14,2
1,6,15,1
1,6,16,1
1,7,0,3
1,7,1,2
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,1
1,7,6,2
1,7,7,2
1,7,8,1
1,7,9,0
1,7,10,1
1,7,11,0
1,7,12,2
1,7,13,1
1,7,14,3
1,7,15,1
1,7,16,1
1,8,0,1
1,8,1,0
1,8,2,1
1,8,3,4
1,8,4,3
1,8,5,1
1,8,6,3
1,8,7,2
1,8,8,3
1,8,9,0
1,8,10,2
1,8,11,2
1,8,12,4
1,8,13,1
1,8,14,1
1,8,15,1
1,8,16,2
1,9,0,2
1,9,1,0
1,9,2,2
1,9,3,2
1,9,4,1
1,9,5,1
1,9,6,0
1,9,7,2
1,9,8,1
1,9,9,0
1,9,10,0
1,9,11,1
1,9,12,0
1,9,13,0
1,9,14,2
1,9,15,3
1,9,16,2
1,10,0,2
1,10,1,0
1,10,2,2
1,10,3,3
1,10,4,2
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,1
1,10,9,2
1,10,10,2
1,10,11,1
1,10,12,1
1,10,13,0
1,10,14,0
1,10,15,0
1,10,16,0
1,11,0,0
1,11,1,1
1,11,2,1
1,11,3,0
1,11,4,0
1,11,5,1
1,11,6,1
1,11,7,2
1,11,8,0
1,11,9,0
1,11,10,3
1,11,11,2
1,11,12,1
1,11,13,3
1,11,14,1
1,11,15,1
1,11,16,2
1,12,0,1
1,12,1,1
1,12,2,1
1,12,3,1
1,12,4,0
1,12,5,2
1,12,6,0
1,12,7,1
1,12,8,3
1,12,9,1
1,12,10,2
1,12,11,4
1,12,12,2
1,12,13,2
1,12,14,1
1,12,15,2
1,12,16,1
1,13,0,1
1,13,1,2
1,13,2,1
1,13,3,1
1,13,4,0
1,13,5,0
1,13,6,1
1,13,7,1
1,13,8,1
1,13,9,2
1,13,10,2
1,13,11,3
1,13,12,2
1,13,13,0
1,13,14,0
1,13,15,1
1,13,16,3
1,14,0,1
1,14,1,1
1,14,2,0
1,14,3,0
1,14,4,1
1,14,5,3
1,14,6,0
1,14,7,0
1,14,8,1
1,14,9,2
1,14,10,1
1,14,11,1
1,14,12,0
1,14,13,3
1,14,14,5
1,14,15,5
1,14,16,0
1,15,0,1
1,15,1,1
1,15,2,0
1,15,3,2
1,15,4,2
1,15,5,0
1,15,6,2
1,15,7,0
1,15,8,0
1,15,9,3
1,15,10,4
1,15,11,3
1,15,12,0
1,15,13,1
1,15,14,0
1,15,15,0
1,15,16,1
1,16,0,0
1,16,1,3
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,16,14,0
1,16,15,0
1,16,16,0
2,0,0,4
2,0,1,2
2,0,2,2
2,0,3,4
2,0,4,1
2,0,5,3
2,0,6,2
2,0,7,6
2,0,8,4
2,0,9,1
2,0,10,0
2,0,11,3
2,0,12,5
2,0,13,1
2,0,14,3
2,0,15,0
2,0,16,0
2,1,0,5
2,1,1,2
2,1,2,0
2,1,3,1
2,1,4,1
2,1,5,1
2,1,6,2
2,1,7,1
2,1,8,0
2,1,9,3
2,1,10,5
2,1,11,1
2,1,12,0
2,1,13,0
2,1,14,0
2,1,15,2
2,1,16,2
2,2,0,2
2,2,1,2
2,2,2,1
2,2,3,1
2,2,4,1
2,2,5,2
2,2,6,2
2,2,7,0
2,2,8,1
2,2,9,2
2,2,10,4
2,2,11,0
2,2,12,4
2,2,13,2
2,2,14,2
2,2,15,0
2,2,16,2
2,3,0,3
2,3,1,4
2,3,2,1
2,3,3,2
2,3,4,3
2,3,5,4
2,3,6,1
2,3,7,0
2,3,8,0
2,3,9,2
2,3,10,2
2,3,11,0
2,3,12,4
2,3,13,1
2,3,14,2
2,3,15,1
2,3,16,5
2,4,0,2
2,4,1,2
2,4,2,0
2,4,3,1
2,4,4,1
2,4,5,1
2,4,6,1
2,4,7,0
2,4,8,3
2,4,9,0
2,4,10,1
2,4,11,1
2,4,12,0
2,4,13,1
2,4,14,0
2,4,15,1
2,4,16,0
2,5,0,0
2,5,1,2
2,5,2,2
2,5,3,2
2,5,4,3
2,5,5,3
2,5,6,0
2,5,7,3
2,5,8,6
2,5,9,3
2,5,10,3
2,5,11,4
2,5,12,2
2,5,13,1
2,5,14,0
2,5,15,2
2,5,16,0
2,6,0,0
2,6,1,4
2,6,2,6
2,6,3,2
2,6,4,0
2,6,5,1
2,6,6,3
2,6,7,0
2,6,8,0
2,6,9,1
2,6,10,2
2,6,11,0
2,6,12,0
2,6,13,1
2,6,14,1
2,6,15,3
2,6,16,2
2,7,0,0
2,7,1,2
2,7,2,2
2,7,3,3
2,7,4,2
2,7,5,1
2,7,6,2
2,7,7,1
2,7,8,3
2,7,9,1
2,7,10,1
2,7,11,4
2,7,12,2
2,7,13,2
2,7,14,5
2,7,15,2
2,7,16,3
2,8,0,2
2,8,1,0
2,8,2,0
2,8,3,2
2,8,4,4
2,8,5,2
2,8,6,0
2,8,7,2
2,8,8,0
2,8,9,1
2,8,10,2
2,8,11,1
2,8,12,2
2,8,13,2
2,8,14,5
2,8,15,0
2,8,16,3
2,9,0,1
2,9,1,3
2,9,2,2
2,9,3,3
2,9,4,2
2,9,5,2
2,9,6,0
2,9,7,2
2,9,8,0
2,9,9,1
2,9,10,1
2,9,11,2
2,9,12,3
2,9,13,0
2,9,14,2
2,9,15,6
2,9,16,1
2,10,0,2
2,10,1,3
2,10,2,1
2,10,3,1
2,10,4,0
2,10,5,3
2,10,6,5
2,10,7,2
2,10,8,2
2,10,9,0
2,10,10,2
2,10,11,0
2,10,12,1
2,10,13,1
2,10,14,3
2,10,15,3
2,10,16,1
2,11,0,0
2,11,1,2
2,11,2,1
2,11,3,2
2,11,4,1
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,3
2,11,11,2
2,11,12,1
2,11,13,0
2,11,14,5
2,11,15,0
2,11,16,2
2,12,0,3
2,12,1,0
2,12,2,0
2,12,3,3
2,12,4,1
2,12,5,1
2,12,6,6
2,12,7,0
2,12,8,2
2,12,9,3
2,12,10,2
2,12,11,0
2,12,12,0
2,12,13,7
2,12,14,0
2,12,15,2
2,12,16,1
2,13,0,3
2,13,1,0
2,13,2,1
2,13,3,1
2,13,4,1
2,13,5,1
2,13,6,1
2,13,7,0
2,13,8,2
2,13,9,3
2,13,10,1
2,13,11,3
2,13,12,1
2,13,13,1
2,13,14,0
2,13,15,0
2,13,16,0
2,14,0,1
2,14,1,0
2,14,2,2
2,14,3,0
2,14,4,1
2,14,5,1
2,14,6,0
2,14,7,0
2,14,8,0
2,14,9,0
2,14,10,2
2,14,11,1
2,14,12,1
2,14,13,3
2,14,14,0
2,14,15,1
2,14,16,1
2,15,0,1
2,15,1,1
2,15,2,1
2,15,3,0
2,15,4,7
2,15,5,1
2,15,6,1
2,15,7,1
2,15,8,2
2,15,9,1
2,15,10,1
2,15,11,1
2,15,12,0
2,15,13,0
2,15,14,2
2,15,15,0
2,15,16,1
2,16,0,3
2,16,1,0
2,16,2,3
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,16,14,0
2,16,15,0
2,16,16,0
3,0,0,2
3,0,1,1
3,0,2,3
3,0,3,0
3,0,4,1
3,0,5,4
3,0,6,2
3,0,7,2
3,0,8,3
3,0,9,1
3,0,10,5
3,0,11,4
3,0,12,3
3,0,13,1
3,0,14,2
3,0,15,1
3,0,16,0
3,1,0,2
3,1,1,0
3,1,2,0
3,1,3,1
3,1,4,0
3,1,5,1
3,1,6,1
3,1,7,0
3,1,8,1
3,1,9,2
3,1,10,0
3,1,11,3
3,1,12,1
3,1,13,2
3,1,14,2
3,1,15,5
3,1,16,3
3,2,0,2
3,2,1,3
3,2,2,3
3,2,3,2
3,2,4,0
3,2,5,1
3,2,6,1
3,2,7,3
3,2,8,3
3,2,9,1
3,2,10,3
3,2,11,1
3,2,12,1
3,2,13,1
3,2,14,1
3,2,15,1
3,2,16,5
3,3,0,3
3,3,1,1
3,3,2,2
3,3,3,0
3,3,4,2
3,3,5,1
3,3,6,2
3,3,7,2
3,3,8,1
3,3,9,3
3,3,10,0
3,3,11,3
3,3,12,3
3,3,13,5
3,3,14,1
3,3,15,1
3,3,16,4
3,4,0,5
3,4,1,2
3,4,2,3
3,4,3,1
3,4,4,1
3,4,5,3
3,4,6,0
3,4,7,2
3,4,8,2
3,4,9,1
3,4,10,0
3,4,11,3
3,4,12,0
3,4,13,3
3,4,14,1
3,4,15,0
3,4,16,3
3,5,0,2
3,5,1,2
3,5,2,3
3,5,3,2
3,5,4,1
3,5,5,2
3,5,6,2
3,5,7,2
3,5,8,1
3,5,9,0
3,5,10,2
3,5,11,2
3,5,12,2
3,5,13,2
3,5,14,2
3,5,15,3
3,5,16,4
3,6,0,2
3,6,1,2
3,6,2,2
3,6,3,3
3,6,4,0
3,6,5,1
3,6,6,0
3,6,7,1
3,6,8,0
3,6,9,0
3,6,10,1
3,6,11,0
3,6,12,1
3,6,13,0
3,6,14,2
3,6,15,3
3,6,16,1
3,7,0,2
3,7,1,3
3,7,2,0
3,7,3,1
3,7,4,1
3,7,5,5
3,7,6,5
3,7,7,2
3,7,8,0
3,7,9,1
3,7,10,2
3,7,11,2
3,7,12,2
3,7,13,1
3,7,14,3
3,7,15,2
3,7,16,3
3,8,0,1
3,8,1,1
3,8,2,2
3,8,3,4
3,8,4,2
3,8,5,3
3,8,6,2
3,8,7,4
3,8,8,1
3,8,9,1
3,8,10,3
3,8,11,1
3,8,12,2
3,8,13,2
3,8,14,1
3,8,15,3
3,8,16,2
3,9,0,2
3,9,1,1
3,9,2,5
3,9,3,1
3,9,4,1
3,9,5,0
3,9,6,1
3,9,7,0
3,9,8,1
3,9,9,3
3,9,10,0
3,9,11,1
3,9,12,2
3,9,13,1
3,9,14,1
3,9,15,2
3,9,16,0
3,10,0,3
3,10,1,3
3,10,2,2
3,10,3,1
3,10,4,1
3,10,5,0
3,10,6,0
3,10,7,6
3,10,8,1
3,10,9,0
3,10,10,0
3,10,11,0
3,10,12,2
3,10,13,2
3,10,14,3
3,10,15,1
3,10,16,0
3,11,0,0
3,11,1,1
3,11,2,0
3,11,3,0
3,11,4,0
3,11,5,0
3,11,6,0
3,11,7,1
3,11,8,3
3,11,9,0
3,11,10,0
3,11,11,0
3,11,12,1
3,11,13,1
3,11,14,1
3,11,15,1
3,11,16,1
3,12,0,1
3,12,1,2
3,12,2,0
3,12,3,0
3,12,4,2
3,12,5,2
3,12,6,0
3,12,7,2
3,12,8,2
3,12,9,1
3,12,10,6
3,12,11,1
3,12,12,2
3,12,13,6
3,12,14,2
3,12,15,2
3,12,16,3
3,13,0,1
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,13,5,3
3,13,6,1
3,13,7,2
3,13,8,2
3,13,9,1
3,13,10,1
3,13,11,0
3,13,12,2
3,13,13,1
3,13,14,1
3,13,15,1
3,13,16,0
3,14,0,1
3,14,1,1
3,14,2,0
3,14,3,1
3,14,4,0
3,14,5,4
3,14,6,3
3,14,7,0
3,14,8,1
3,14,9,2
3,14,10,3
3,14,11,0
3,14,12,3
3,14,13,2
3,14,14,1
3,14,15,3
3,14,16,0
3,15,0,0
3,15,1,3
3,15,2,0
3,15,3,6
3,15,4,4
3,15,5,4
3,15,6,2
3,15,7,0
3,15,8,3
3,15,9,2
3,15,10,2
3,15,11,1
3,15,12,3
3,15,13,1
3,15,14,0
3,15,15,1
3,15,16,2
3,16,0,4
3,16,1,2
3,16,2,2
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,16,11,0
3,16,12,0
3,16,13,0
3,16,14,0
3,16,15,0
3,16,16,0
4,0,0,6
4,0,1,8
4,0,2,0
4,0,3,1
4,0,4,1
4,0,5,1
4,0,6,3
4,0,7,0
4,0,8,2
4,0,9,2
4,0,10,1
4,0,11,1
4,0,12,0
4,0,13,1
4,0,14,1
4,0,15,1
4,0,16,1
4,1,0,5
4,1,1,1
4,1,2,1
4,1,3,1
4,1,4,2
4,1,5,1
4,1,6,0
4,1,7,3
4,1,8,3
4,1,9,0
4,1,10,0
4,1,11,3
4,1,12,4
4,1,13,1
4,1,14,0
4,1,15,5
4,1,16,1
4,2,0,4
4,2,1,1
4,2,2,2
4,2,3,1
4,2,4,2
4,2,5,1
4,2,6,1
4,2,7,2
4,2,8,2
4,2,9,2
4,2,10,3
4,2,11,2
4,2,12,3
4,2,13,1
4,2,14,0
4,2,15,0
4,2,16,5
4,3,0,3
4,3,1,2
4,3,2,3
4,3,3,1
4,3,4,1
4,3,5,2
4,3,6,3
4,3,7,2
4,3,8,0
4,3,9,2
4,3,10,3
4,3,11,2
4,3,12,0
4,3,13,2
4,3,14,5
4,3,15,6
4,3,16,0
4,4,0,1
4,4,1,1
4,4,2,2
4,4,3,0
4,4,4,2
4,4,5,2
4,4,6,1
4,4,7,0
4,4,8,0
4,4,9,0
4,4,10,0
4,4,11,0
4,4,12,0
4,4,13,0
4,4,14,3
4,4,15,0
4,4,16,0
4,5,0,1
4,5,1,5
4,5,2,3
4,5,3,3
4,5,4,0
4,5,5,1
4,5,6,2
4,5,7,2
4,5,8,5
4,5,9,0
4,5,10,0
4,5,11,2
4,5,12,3
4,5,13,4
4,5,14,4
4,5,15,2
4,5,16,0
4,6,0,1
4,6,1,2
4,6,2,5
4,6,3,0
4,6,4,0
4,6,5,1
4,6,6,2
4,6,7,0
4,6,8,5
4,6,9,1
4,6,10,1
4,6,11,3
4,6,12,1
4,6,13,2
4,6,14,1
4,6,15,0
4,6,16,1
4,7,0,2
4,7,1,4
4,7,2,2
4,7,3,1
4,7,4,1
4,7,5,1
4,7,6,0
4,7,7,1
4,7,8,3
4,7,9,2
4,7,10,3
4,7,11,0
4,7,12,1
4,7,13,1
4,7,14,4
4,7,15,2
4,7,16,0
4,8,0,2
4,8,1,1
4,8,2,1
4,8,3,2
4,8,4,2
4,8,5,1
4,8,6,3
4,8,7,2
4,8,8,2
4,8,9,0
4,8,10,1
4,8,11,3
4,8,12,1
4,8,13,2
4,8,14,3
4,8,15,2
4,8,16,2
4,9,0,2
4,9,1,3
4,9,2,1
4,9,3,2
4,9,4,2
4,9,5,0
4,9,6,0
4,9,7,1
4,9,8,1
4,9,9,3
4,9,10,0
4,9,11,0
4,9,12,2
4,9,13,2
4,9,14,6
4,9,15,1
4,9,16,4
4,10,0,4
4,10,1,1
4,10,2,2
4,10,3,2
4,10,4,0
4,10,5,1
4,10,6,3
4,10,7,5
4,10,8,0
4,10,9,0
4,10,10,1
4,10,11,1
4,10,12,3
4,10,13,0
4,10,14,0
4,10,15,0
4,10,16,0
4,11,0,0
4,11,1,4
4,11,2,2
4,11,3,3
4,11,4,0
4,11,5,0
4,11,6,0
4,11,7,0
4,11,8,2
4,11,9,0
4,11,10,1
4,11,11,1
4,11,12,1
4,11,13,1
4,11,14,2
4,11,15,1
4,11,16,2
4,12,0,1
4,12,1,0
4,12,2,0
4,12,3,3
4,12,4,1
4,12,5,1
4,12,6,1
4,12,7,1
4,12,8,0
4,12,9,1
4,12,10,4
4,12,11,0
4,12,12,3
4,12,13,6
4,12,14,0
4,12,15,2
4,12,16,3
4,13,0,0
4,13,1,1
4,13,2,0
4,13,3,0
4,13,4,0
4,13,5,2
4,13,6,2
4,13,7,2
4,13,8,0
4,13,9,1
4,13,10,5
4,13,11,1
4,13,12,2
4,13,13,0
4,13,14,1
4,13,15,1
4,13,16,4
4,14,0,0
4,14,1,0
4,14,2,1
4,14,3,0
4,14,4,1
4,14,5,1
4,14,6,0
4,14,7,3
4,14,8,1
4,14,9,3
4,14,10,0
4,14,11,3
4,14,12,1
4,14,13,3
4,14,14,0
4,14,15,4
4,14,16,3
4,15,0,0
4,15,1,2
4,15,2,3
4,15,3,6
4,15,4,1
4,15,5,2
4,15,6,3
4,15,7,1
4,15,8,1
4,15,9,3
4,15,10,3
4,15,11,3
