row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.25293193712291395
0,1,0112,0.10979243096440128
0,2,0113,0.43647724822026407
0,3,0114,0.35444444444444456
0,4,0121,0.22445761677220188
0,5,0122,0.2088368072599292
0,6,0123,0.13052654198315744
0,7,0124,0.09363519107303307
0,8,0131,0.203339860889131
0,9,0132,0.18693526634762056
0,10,0133,0.25854395158563115
0,11,0211,0.33767424357747755
0,12,0212,0.5198344391375068
0,13,0213,0.20483650474353599
0,14,0214,0.14616940947456075
0,15,0215,0.15062210679213853
0,16,0221,0.2910607343985865
1,0,0222,0.2874483458122907
1,1,0223,0.38422772798370175
1,2,0224,0.34288992253180217
1,3,0225,0.08763004275351363
1,4,0231,0.28321068901606244
1,5,0232,0.3047233420575362
1,6,0233,0.44089378700867254
1,7,0234,0.24970077116282197
1,8,0235,0.09193685046872427
1,9,0311,0.3097984777568231
1,10,0312,0.3282172593422036
1,11,0313,0.18573578182126335
1,12,0314,0.16470359540020008
1,13,0321,0.10817378624413769
1,14,0322,0.2172985558244957
1,15,0323,0.19021990344256756
1,16,0324,0.07113651984772718
2,0,0331,0.40980991388198057
2,1,0332,0.41674213831723567
2,2,0333,0.15036402619922046
2,3,0334,0.4304270685419632
2,4,0411,0.219684909473731
2,5,0412,0.19448993166599857
2,6,0413,0.26037111732121865
2,7,0414,0.09310759895600847
2,8,0421,0.3267097026282373
2,9,0422,0.279383530244489
2,10,0423,0.24595206502851458
2,11,0424,0.21385939909471513
2,12,0431,0.5719993423173434
2,13,0432,0.1656119709412387
2,14,0433,0.26308212264501274
2,15,0434,0.06605413433264065
2,16,0511,0.34643841666688396
3,0,0512,0.405430551827845
3,1,0513,0.22271120132660965
3,2,0522,0.2114730454454797
3,3,0523,0.21643864679978408
3,4,0524,0.4417644459653203
3,5,0531,0.2730597682627985
3,6,0532,0.11255936841047604
3,7,0533,0.3892079697649724
3,8,0611,0.5078568565141455
3,9,0612,0.09574537132367616
3,10,0613,0.2873101674117637
3,11,0614,0.20364749988671063
3,12,0621,0.29079170143263
3,13,0622,0.36581013586705824
