row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.0
0,1,0112,0.0
0,2,0113,0.32661782661782657
0,3,0114,0.1575091575091575
0,4,0121,0.33241758241758235
0,5,0122,0.0
0,6,0123,0.0
0,7,0124,0.0
0,8,0131,0.001017903114066434
0,9,0132,0.3258547008547009
0,10,0133,0.1706349206349208
0,11,0211,0.16056166056166055
0,12,0212,0.1633089133089134
0,13,0213,0.33333333333333337
0,14,0214,0.3302808302808301
0,15,0215,0.33333333333333337
0,16,0221,0.33333333333333337
1,0,0222,0.0
1,1,0223,0.16636141636141644
1,2,0224,0.33211233211233193
1,3,0225,0.49694749694749696
1,4,0231,0.33272283272283254
1,5,0232,0.49572649572649574
1,6,0233,0.49572649572649574
1,7,0234,0.15934065934065933
1,8,0235,0.4993894993894994
1,9,0311,0.3357753357753358
1,10,0312,0.16727716727716724
1,11,0313,0.3299755799755799
1,12,0314,0.3308913308913308
1,13,0321,0.0
1,14,0322,0.329059829059829
1,15,0323,0.16056166056166055
1,16,0324,0.0
2,0,0331,0.1565934065934067
2,1,0332,0.16391941391941411
2,2,0333,0.331196581196581
2,3,0334,0.16529304029304004
2,4,0411,0.16727716727716724
2,5,0412,0.16741698579173017
2,6,0413,0.328144078144078
2,7,0414,0.0
2,8,0421,0.0
2,9,0422,0.3296703296703295
2,10,0423,0.0
2,11,0424,0.1642246642246642
2,12,0431,0.16483516483516492
2,13,0432,0.3286745443850379
2,14,0433,0.16605616605616613
2,15,0434,0.49755799755799757
2,16,0511,0.0
3,0,0512,0.1636141636141638
3,1,0513,0.0
3,2,0522,0.3302808302808301
3,3,0523,0.16941391941391937
3,4,0524,0.16132478632478642
3,5,0531,0.33211233211233193
3,6,0532,0.49572649572649574
3,7,0533,0.1630036630036631
3,8,0611,0.16727716727716724
3,9,0612,0.0
3,10,0613,0.3302808302808301
3,11,0614,0.32722832722832706
3,12,0621,0.0
3,13,0622,0.3308913308913308
3,14,0623,0.0
3,15,0624,0.0
3,16,0631,0.0024420024420023223
4,0,0632,0.1524744861491165
4,1,0633,0.49542124542124555
4,2,0634,0.3305860805860804
4,3,0711,0.33150183150183143
4,4,0712,0.3299755799755799
4,5,0713,0.3302808302808301
4,6,0714,0.4993894993894994
4,7,0715,0.4987789987789989
4,8,0722,0.3302808302808301
4,9,0723,0.3322649572649573
4,10,0724,0.49664224664224665
4,11,0725,0.3308913308913308
4,12,0726,0.6641788616655512
4,13,0731,0.329059829059829
4,14,0732,0.49755799755799757
4,15,0733,0.3379120879120878
4,16,0734,0.497863247863248
5,0,0735,0.33150183150183143
5,1,0811,0.33330922672196855
5,2,0812,0.33302808302808284
5,3,0813,0.15903540903540925
5,4,0814,0.33150183150183143
5,5,0815,0.15873015873015894
5,6,0821,0.32722832722832706
5,7,0822,0.3299755799755799
5,8,0823,0.0
5,9,0824,0.32600732600732596
5,10,0825,0.16819291819291826
5,11,0831,0.1562881562881564
5,12,0832,0.331959706959707
5,13,0833,0.0
5,14,0834,0.16483516483516492
5,15,0835,0.16575091575091594
5,16,0911,0.49694749694749696
6,0,0912,0.16590354090354098
6,1,0913,0.3310439560439561
6,2,0914,0.1630036630036631
6,3,0915,0.3302808302808301
6,4,0921,0.49694749694749696
6,5,0922,0.3296703296703295
6,6,0923,0.33333333333333337
6,7,0924,0.3302808302808301
6,8,0925,0.33272283272283254
6,9,0931,0.33333333333333337
6,10,0932,0.49511599511599513
6,11,0933,0.4984737484737485
6,12,0934,0.4984737484737485
6,13,0935,0.5003052503052503
6,14,1011,0.16483516483516492
6,15,1012,0.33272283272283254
6,16,1013,0.3305860805860804
7,0,1014,0.3305860805860804
7,1,1021,0.16483516483516492
7,2,1022,0.3287545787545786
7,3,1023,0.49694749694749696
7,4,1024,0.33150183150183143
7,5,1031,0.1683455433455432
7,6,1032,0.49755799755799757
7,7,1033,0.331196581196581
7,8,1034,0.16910866910866906
7,9,1111,0.3305860805860804
7,10,1112,0.001831501831501825
7,11,1113,0.33302808302808284
7,12,1114,0.6636141636141635
7,13,1115,0.3331807081807082
7,14,1121,0.0
7,15,1122,0.0
7,16,1123,0.3308913308913308
8,0,1124,0.49755799755799757
8,1,1125,0.6648351648351647
8,2,1131,0.3322649572649573
8,3,1132,0.3287545787545786
8,4,1133,0.1597985347985349
8,5,1134,0.329059829059829
8,6,1135,0.331196581196581
8,7,1211,0.331196581196581
8,8,1212,0.32417582417582413
8,9,1213,0.3296703296703295
8,10,1214,0.0
8,11,1215,0.16666666666666685
8,12,1221,0.1642246642246642
8,13,1222,0.33241758241758235
8,14,1223,0.1654456654456654
8,15,1224,0.0
8,16,1225,0.3284493284493284
9,0,1231,0.16788766788766796
9,1,1232,0.0
9,2,1233,0.0012210012210011056
9,3,1234,0.3275335775335775
9,4,1235,0.16666666666666685
9,5,1411,0.493894993894994
9,6,1412,0.49603174603174605
9,7,1413,0.497863247863248
9,8,1414,0.3299755799755799
9,9,1421,0.3322649572649573
9,10,1422,0.3306860491555846
9,11,1423,0.3308913308913308
9,12,1424,0.1575091575091575
9,13,1431,0.33211233211233193
9,14,1432,0.3252442002442003
9,15,1433,0.1642246642246642
9,16,1434,0.170940170940171
10,0,1511,0.33211233211233193
10,1,1512,0.3302808302808301
10,2,1513,0.33241758241758235
10,3,1522,0.1642246642246642
10,4,1523,0.32600732600732596
10,5,1524,0.33333333333333337
10,6,1531,0.33241758241758235
10,7,1532,0.16590354090354098
10,8,1533,0.0
10,9,1611,0.4993894993894994
10,10,1612,0.49954212454212443
10,11,1613,0.4987789987789987
10,12,1614,0.4993894993894994
10,13,1621,0.6648351648351647
10,14,1622,0.3322649572649573
10,15,1623,0.329059829059829
10,16,1624,0.3302808302808301
11,0,1631,0.4987789987789989
11,1,1632,0.33333333333333337
11,2,1633,0.3302808302808301
11,3,1634,0.49694749694749696
11,4,1650,0.829059829059829
11,5,1651,0.6657509157509157
11,6,1652,0.8327228327228327
11,7,1653,0.6666666666666667
11,8,1654,0.4987789987789989
11,9,1655,0.831043956043956
11,10,1711,0.32829670329670335
11,11,1712,0.15811965811965822
11,12,1713,0.49755799755799757
11,13,1722,0.16727716727716724
11,14,1723,0.1654456654456654
11,15,1724,0.49511599511599513
11,16,1731,0.33394383394383387
12,0,1732,0.15995115995116005
12,1,1733,0.1633089133089134
12,2,1811,0.4981684981684982
12,3,1812,0.3302808302808301
12,4,1813,0.4987789987789989
12,5,1814,0.33150183150183143
12,6,1821,0.1575091575091575
12,7,1822,0.32644787484525845
12,8,1823,0.49572649572649574
12,9,1824,0.0
12,10,1831,0.0
12,11,1832,0.15995115995116005
12,12,1833,0.0
12,13,1834,0.0
12,14,1911,0.329059829059829
12,15,1912,0.3357753357753358
12,16,1913,0.328144078144078
13,0,1914,0.162698412698413
13,1,1915,0.16575091575091594
13,2,1921,0.497863247863248
13,3,1922,0.16666666666666685
13,4,1923,0.16666666666666685
13,5,1924,0.0
13,6,1925,0.0
13,7,1931,0.1700244200244201
13,8,1932,0.4984737484737485
13,9,1933,0.16666666666666685
13,10,1934,0.16117216117216127
13,11,1935,0.0
13,12,2011,0.3299755799755799
13,13,2012,0.49572649572649574
13,14,2013,0.49633699633699624
13,15,2022,0.49755799755799757
13,16,2023,0.33333333333333337
14,0,2024,0.33241758241758235
14,1,2031,0.4987789987789989
14,2,2032,0.5018315018315018
14,3,2033,0.49664224664224665
14,4,2211,0.4984737484737485
14,5,2212,0.3281250941928986
14,6,2213,0.3302808302808301
14,7,2221,0.49633699633699624
14,8,2222,0.33272283272283254
14,9,2223,0.3299755799755799
14,10,2232,0.3298229548229549
14,11,2233,0.49755799755799757
14,12,2234,0.16910866910866906
14,13,2411,0.16666666666666685
14,14,2412,0.16788766788766796
14,15,2413,0.1633089133089134
14,16,2422,0.16117216117216127
15,0,2423,0.33180708180708174
15,1,2424,0.3313492063492065
15,2,2431,0.49511599511599513
15,3,2432,0.0
15,4,2433,0.15903540903540925
15,5,2511,0.49603174603174605
15,6,2512,0.1636141636141638
15,7,2513,0.4993894993894994
15,8,2514,0.33150183150183143
15,9,2515,0.16391941391941411
15,10,2521,0.003968253968253732
15,11,2522,0.3304334554334556
15,12,2523,0.4926739926739927
15,13,2524,0.4981684981684982
15,14,2525,0.497863247863248
15,15,2531,0.331196581196581
15,16,2532,0.331196581196581
16,0,2533,0.0
16,1,2534,0.16666666666666685
16,2,2535,0.3310439560439561
