row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.0
0,1,0112,0.1328257389029461
0,2,0113,0.33333333333333337
0,3,0114,0.2235217673814165
0,4,0121,0.5
0,5,0122,0.0
0,6,0123,0.0
0,7,0124,0.10833333333333361
0,8,0131,0.06676912191352034
0,9,0132,0.33333333333333337
0,10,0133,0.33333333333333337
0,11,0211,0.16666666666666685
0,12,0212,0.3120517342739565
0,13,0213,0.5
0,14,0214,0.4144778733733913
0,15,0215,0.5
0,16,0221,0.5
1,0,0222,0.0
1,1,0223,0.33333333333333337
1,2,0224,0.5
1,3,0225,0.6605526161081716
1,4,0231,0.5
1,5,0232,0.5
1,6,0233,0.5
1,7,0234,0.16666666666666685
1,8,0235,0.6406015624562178
1,9,0311,0.5
1,10,0312,0.33333333333333337
1,11,0313,0.38993410636493825
1,12,0314,0.47868875737640093
1,13,0321,0.14183006535947718
1,14,0322,0.33333333333333337
1,15,0323,0.16666666666666685
1,16,0324,0.16666666666666685
2,0,0331,0.059171075837742504
2,1,0332,0.33333333333333337
2,2,0333,0.45641174538631296
2,3,0334,0.3114540466392317
2,4,0411,0.33333333333333337
2,5,0412,0.3330042777496704
2,6,0413,0.33333333333333337
2,7,0414,0.11380471380471369
2,8,0421,0.0
2,9,0422,0.4879454787806885
2,10,0423,0.0
2,11,0424,0.33333333333333337
2,12,0431,0.3170987654320987
2,13,0432,0.3216897059298938
2,14,0433,0.33333333333333337
2,15,0434,0.6666666666666667
2,16,0511,0.0053740014524328306
3,0,0512,0.2764132553606239
3,1,0513,0.08861454046639261
3,2,0522,0.4324354657687992
3,3,0523,0.33333333333333337
3,4,0524,0.2796707818930041
3,5,0531,0.5
3,6,0532,0.5
3,7,0533,0.26296296296296273
3,8,0611,0.33333333333333337
3,9,0612,0.13364197530864208
3,10,0613,0.4134259259259261
3,11,0614,0.33333333333333337
3,12,0621,0.0835578002244669
3,13,0622,0.4773288439955107
3,14,0623,0.08300653594771235
3,15,0624,0.0
3,16,0631,0.052427983539094725
4,0,0632,0.028159905937683805
4,1,0633,0.5
4,2,0634,0.46628430566952717
4,3,0711,0.48004938271604924
4,4,0712,0.44057613168724274
4,5,0713,0.5
4,6,0714,0.6666666666666667
4,7,0715,0.6666666666666667
4,8,0722,0.4552910052910053
4,9,0723,0.4875308641975309
4,10,0724,0.6242312150782456
4,11,0725,0.5
4,12,0726,0.6660085554993408
4,13,0731,0.3330042777496704
4,14,0732,0.5
4,15,0733,0.5
4,16,0734,0.6627865961199295
5,0,0735,0.5
5,1,0811,0.49950641662450557
5,2,0812,0.5
5,3,0813,0.18565859744091162
5,4,0814,0.48438634713144524
5,5,0815,0.16666666666666685
5,6,0821,0.33333333333333337
5,7,0822,0.33333333333333337
5,8,0823,0.0
5,9,0824,0.33333333333333337
5,10,0825,0.33333333333333337
5,11,0831,0.16666666666666685
5,12,0832,0.4437908496732027
5,13,0833,0.16666666666666685
5,14,0834,0.25816186556927334
5,15,0835,0.24233292285304453
5,16,0911,0.6506899055918663
6,0,0912,0.33333333333333337
6,1,0913,0.5
6,2,0914,0.33333333333333337
6,3,0915,0.33333333333333337
6,4,0921,0.6459404246056072
6,5,0922,0.40129217096267034
6,6,0923,0.4861845972957086
6,7,0924,0.33333333333333337
6,8,0925,0.48804418453541276
6,9,0931,0.5
6,10,0932,0.5
6,11,0933,0.654949028861666
6,12,0934,0.6538800705467374
6,13,0935,0.6666666666666667
6,14,1011,0.24946109929668292
6,15,1012,0.48780549003242296
6,16,1013,0.45961934156378614
7,0,1014,0.4765432098765433
7,1,1021,0.22113289760348576
7,2,1022,0.42808641975308637
7,3,1023,0.5
7,4,1024,0.4893004115226337
7,5,1031,0.33333333333333337
7,6,1032,0.5
7,7,1033,0.5
7,8,1034,0.3175857715886626
7,9,1111,0.4692657569850551
7,10,1112,0.14647266313933016
7,11,1113,0.49489337822671153
7,12,1114,0.6666666666666667
7,13,1115,0.5
7,14,1121,0.0
7,15,1122,0.16666666666666685
7,16,1123,0.4479717813051146
8,0,1124,0.5
8,1,1125,0.6666666666666667
8,2,1131,0.5
8,3,1132,0.32627865961199287
8,4,1133,0.16666666666666685
8,5,1134,0.3303835001627617
8,6,1135,0.3252036600216153
8,7,1211,0.33333333333333337
8,8,1212,0.4639839873641731
8,9,1213,0.47409942358138263
8,10,1214,0.0
8,11,1215,0.33333333333333337
8,12,1221,0.3085537918871254
8,13,1222,0.4810457516339869
8,14,1223,0.3330042777496704
8,15,1224,0.0
