row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.0
0,1,0112,0.0
0,2,0113,0.0
0,3,0114,0.0
0,4,0121,0.16666666666666685
0,5,0122,0.0
0,6,0123,0.0
0,7,0124,0.0
0,8,0131,0.0
0,9,0132,0.0
0,10,0133,0.0
0,11,0211,0.0
0,12,0212,0.0
0,13,0213,0.33333333333333337
0,14,0214,0.16666666666666685
0,15,0215,0.16666666666666685
0,16,0221,0.33333333333333337
1,0,0222,0.0
1,1,0223,0.0
1,2,0224,0.16666666666666685
1,3,0225,0.33333333333333337
1,4,0231,0.16666666666666685
1,5,0232,0.33333333333333337
1,6,0233,0.0
1,7,0234,0.0
1,8,0235,0.16666666666666685
1,9,0311,0.16666666666666685
1,10,0312,0.0
1,11,0313,0.0
1,12,0314,0.16666666666666685
1,13,0321,0.0
1,14,0322,0.0
1,15,0323,0.0
1,16,0324,0.0
2,0,0331,0.0
2,1,0332,0.0
2,2,0333,0.0
2,3,0334,0.0
2,4,0411,0.0
2,5,0412,0.0
2,6,0413,0.0
2,7,0414,0.0
2,8,0421,0.0
2,9,0422,0.0
2,10,0423,0.0
2,11,0424,0.0
2,12,0431,0.0
2,13,0432,0.0
2,14,0433,0.0
2,15,0434,0.0
2,16,0511,0.0
3,0,0512,0.0
3,1,0513,0.0
3,2,0522,0.0
3,3,0523,0.0
3,4,0524,0.0
3,5,0531,0.16666666666666685
3,6,0532,0.0
3,7,0533,0.0
3,8,0611,0.0
3,9,0612,0.0
3,10,0613,0.0
3,11,0614,0.0
3,12,0621,0.0
3,13,0622,0.16666666666666685
3,14,0623,0.0
3,15,0624,0.0
3,16,0631,0.0
4,0,0632,0.0
4,1,0633,0.0
4,2,0634,0.16666666666666685
4,3,0711,0.16666666666666685
4,4,0712,0.16666666666666685
4,5,0713,0.16666666666666685
4,6,0714,0.33333333333333337
4,7,0715,0.33333333333333337
4,8,0722,0.16666666666666685
4,9,0723,0.0
4,10,0724,0.16666666666666685
4,11,0725,0.33333333333333337
4,12,0726,0.5
4,13,0731,0.0
4,14,0732,0.33333333333333337
4,15,0733,0.33333333333333337
4,16,0734,0.16666666666666685
5,0,0735,0.0
5,1,0811,0.16666666666666685
5,2,0812,0.0
5,3,0813,0.0
5,4,0814,0.0
5,5,0815,0.0
5,6,0821,0.0
5,7,0822,0.0
5,8,0823,0.0
5,9,0824,0.16666666666666685
5,10,0825,0.0
5,11,0831,0.0
5,12,0832,0.16666666666666685
5,13,0833,0.0
5,14,0834,0.0
5,15,0835,0.0
5,16,0911,0.33333333333333337
6,0,0912,0.0
6,1,0913,0.0
6,2,0914,0.0
6,3,0915,0.0
6,4,0921,0.33333333333333337
6,5,0922,0.0
6,6,0923,0.16666666666666685
6,7,0924,0.0
6,8,0925,0.0
6,9,0931,0.16666666666666685
6,10,0932,0.16666666666666685
6,11,0933,0.33333333333333337
6,12,0934,0.0
6,13,0935,0.33333333333333337
6,14,1011,0.0
6,15,1012,0.0
6,16,1013,0.16666666666666685
7,0,1014,0.0
7,1,1021,0.0
7,2,1022,0.0
7,3,1023,0.0
7,4,1024,0.0
7,5,1031,0.0
7,6,1032,0.33333333333333337
7,7,1033,0.16666666666666685
7,8,1034,0.16666666666666685
7,9,1111,0.0
7,10,1112,0.0
7,11,1113,0.33333333333333337
7,12,1114,0.5
7,13,1115,0.0
7,14,1121,0.0
7,15,1122,0.0
7,16,1123,0.16666666666666685
8,0,1124,0.16666666666666685
8,1,1125,0.5
8,2,1131,0.0
8,3,1132,0.16666666666666685
8,4,1133,0.0
8,5,1134,0.0
8,6,1135,0.0
8,7,1211,0.0
8,8,1212,0.0
8,9,1213,0.0
8,10,1214,0.0
8,11,1215,0.0
8,12,1221,0.0
8,13,1222,0.16666666666666685
8,14,1223,0.0
8,15,1224,0.0
8,16,1225,0.0
9,0,1231,0.0
9,1,1232,0.0
9,2,1233,0.0
9,3,1234,0.0
9,4,1235,0.0
9,5,1411,0.0
9,6,1412,0.33333333333333337
9,7,1413,0.0
9,8,1414,0.16666666666666685
9,9,1421,0.0
9,10,1422,0.0
9,11,1423,0.0
9,12,1424,0.0
9,13,1431,0.16666666666666685
9,14,1432,0.0
9,15,1433,0.0
9,16,1434,0.0
10,0,1511,0.0
10,1,1512,0.0
10,2,1513,0.16666666666666685
10,3,1522,0.0
10,4,1523,0.0
10,5,1524,0.16666666666666685
10,6,1531,0.0
10,7,1532,0.0
10,8,1533,0.0
10,9,1611,0.5
10,10,1612,0.33333333333333337
10,11,1613,0.33333333333333337
10,12,1614,0.33333333333333337
10,13,1621,0.5
10,14,1622,0.0
10,15,1623,0.0
10,16,1624,0.33333333333333337
11,0,1631,0.33333333333333337
11,1,1632,0.16666666666666685
11,2,1633,0.16666666666666685
11,3,1634,0.16666666666666685
11,4,1650,1.0
11,5,1651,0.5
11,6,1652,0.6666666666666667
11,7,1653,0.5
11,8,1654,0.33333333333333337
11,9,1655,0.16666666666666685
11,10,1711,0.0
11,11,1712,0.0
11,12,1713,0.16666666666666685
11,13,1722,0.0
11,14,1723,0.0
11,15,1724,0.16666666666666685
11,16,1731,0.33333333333333337
12,0,1732,0.0
12,1,1733,0.0
12,2,1811,0.33333333333333337
12,3,1812,0.0
12,4,1813,0.33333333333333337
12,5,1814,0.16666666666666685
12,6,1821,0.0
12,7,1822,0.0
12,8,1823,0.0
12,9,1824,0.0
12,10,1831,0.0
12,11,1832,0.0
12,12,1833,0.0
12,13,1834,0.0
12,14,1911,0.0
12,15,1912,0.16666666666666685
12,16,1913,0.16666666666666685
13,0,1914,0.0
13,1,1915,0.0
13,2,1921,0.33333333333333337
13,3,1922,0.0
13,4,1923,0.0
13,5,1924,0.0
13,6,1925,0.0
13,7,1931,0.16666666666666685
13,8,1932,0.16666666666666685
13,9,1933,0.0
13,10,1934,0.0
13,11,1935,0.0
13,12,2011,0.16666666666666685
13,13,2012,0.16666666666666685
13,14,2013,0.33333333333333337
13,15,2022,0.33333333333333337
13,16,2023,0.0
14,0,2024,0.0
14,1,2031,0.16666666666666685
14,2,2032,0.5
14,3,2033,0.33333333333333337
14,4,2211,0.0
14,5,2212,0.0
14,6,2213,0.0
14,7,2221,0.33333333333333337
14,8,2222,0.16666666666666685
14,9,2223,0.0
14,10,2232,0.0
14,11,2233,0.33333333333333337
14,12,2234,0.16666666666666685
14,13,2411,0.0
14,14,2412,0.16666666666666685
14,15,2413,0.0
14,16,2422,0.0
15,0,2423,0.16666666666666685
15,1,2424,0.0
15,2,2431,0.5
15,3,2432,0.0
15,4,2433,0.0
15,5,2511,0.0
15,6,2512,0.0
15,7,2513,0.16666666666666685
15,8,2514,0.16666666666666685
15,9,2515,0.0
15,10,2521,0.0
15,11,2522,0.0
15,12,2523,0.0
15,13,2524,0.33333333333333337
15,14,2525,0.33333333333333337
15,15,2531,0.33333333333333337
15,16,2532,0.16666666666666685
16,0,2533,0.0
16,1,2534,0.0
16,2,2535,0.16666666666666685
