row,col,beat,Coverage Width-Based Criterion
0,0,0111,0.0
0,1,0112,0.08914681829159239
0,2,0113,0.31388219630063335
0,3,0114,0.16375994688996098
0,4,0121,0.500460101086981
0,5,0122,0.0
0,6,0123,0.0
0,7,0124,0.22412812164785903
0,8,0131,0.07421066658903534
0,9,0132,0.33375178947276163
0,10,0133,0.3279015891283825
0,11,0211,0.09066950878734681
0,12,0212,0.3167190831950607
0,13,0213,0.5003549453532722
0,14,0214,0.33312518794705426
0,15,0215,0.4993934319008438
0,16,0221,0.4952726310692943
1,0,0222,0.0008259183184388119
1,1,0223,0.1663108775191252
1,2,0224,0.4999245353389168
1,3,0225,0.6481285270343908
1,4,0231,0.49995325438972926
1,5,0232,0.4961647438415696
1,6,0233,0.4998993066509968
1,7,0234,0.16449292201980653
1,8,0235,0.6341179883565042
1,9,0311,0.49943508058452213
1,10,0312,0.33213395230645226
1,11,0313,0.37302011905401694
1,12,0314,0.3338275850859154
1,13,0321,0.12687542723055856
1,14,0322,0.3322369249730103
1,15,0323,0.21062153629307184
1,16,0324,0.16688443255380103
2,0,0331,4.513859834043288e-05
2,1,0332,0.3348291069798135
2,2,0333,0.3363368116445239
2,3,0334,0.31710346222338315
2,4,0411,0.3331987904929574
2,5,0412,0.32686121849949645
2,6,0413,0.3332528719286054
2,7,0414,0.16559551857202137
2,8,0421,0.0
2,9,0422,0.4477592916128754
2,10,0423,0.0008172237707400054
2,11,0424,0.33350931436063547
2,12,0431,0.16601617240022126
2,13,0432,0.16681210437953542
2,14,0433,0.33282936474056013
2,15,0434,0.6660070822114068
2,16,0511,0.028733551272640323
3,0,0512,0.2445208388204433
3,1,0513,0.06194686782348846
3,2,0522,0.33339199970934774
3,3,0523,0.33315189749137064
3,4,0524,0.28360783083097574
3,5,0531,0.5005353431333105
3,6,0532,0.49939836014101513
3,7,0533,0.16712934331438745
3,8,0611,0.33301592757176735
3,9,0612,0.12299656480143739
3,10,0613,0.333005292731691
3,11,0614,0.3352531986857814
3,12,0621,0.09382769208750319
3,13,0622,0.45312021730055396
3,14,0623,0.10750154651782051
3,15,0624,0.2286788376125325
3,16,0631,0.27918969733520344
4,0,0632,0.00015593592065777975
4,1,0633,0.49732343996090295
4,2,0634,0.33284663052319596
4,3,0711,0.3333054576092883
4,4,0712,0.33076362634541334
4,5,0713,0.48247408348875354
4,6,0714,0.6667326268543472
4,7,0715,0.6664355491050454
4,8,0722,0.33332021144903023
4,9,0723,0.333301302495003
4,10,0724,0.49977460494368575
4,11,0725,0.48718623099850156
4,12,0726,0.6259064359834315
4,13,0731,0.3331806750543189
4,14,0732,0.4999592497562002
4,15,0733,0.4990940628727675
4,16,0734,0.6664877677675232
5,0,0735,0.49997427523812965
5,1,0811,0.4877559297983243
5,2,0812,0.49971286396211323
5,3,0813,0.16756135575094788
5,4,0814,0.3332334742335097
5,5,0815,0.16663636186637687
5,6,0821,0.3335738068785533
5,7,0822,0.33211951116044236
5,8,0823,0.002626799238390265
5,9,0824,0.33131985277497283
5,10,0825,0.33260545176601986
5,11,0831,0.16707814294680834
5,12,0832,0.40089405812726375
5,13,0833,0.14923181418390036
5,14,0834,0.2589458076491351
5,15,0835,0.16691212983513737
5,16,0911,0.499980322683514
6,0,0912,0.33382361204894373
6,1,0913,0.5001138964614247
